adult,budget,TMDb_id,popularity,release_year,status,title,vote_average,Netflix_id,on_Netflix
True,0.0,37108,5.874511,1995,Released,A Kid in King Arthur's Court,4.3,,False
True,40000000.0,6071,7.797512,1995,Released,Kiss of Death,5.7,,False
True,11000000.0,11,42.149697,1977,Released,Star Wars,8.1,,False
True,18000000.0,9587,9.774994,1994,Released,Little Women,7.0,,False
True,17000000.0,19101,7.731725,1995,Released,A Little Princess,7.4,,False
True,0.0,49980,0.84508,1994,Released,Ladybird Ladybird,7.4,,False
True,10000000.0,17961,1.948315,1994,Released,L'Enfer,6.6,,False
True,2000000.0,18183,4.126083,1992,Released,Like Water for Chocolate,6.6,s7306,True
True,30000000.0,4476,12.199047,1994,Released,Legends of the Fall,7.2,,False
True,0.0,11008,9.253362,1995,Released,Major Payne,6.1,s343,True
True,0.0,47504,1.861292,1994,Released,Little Odessa,6.4,,False
True,0.0,32325,1.788829,1994,Released,Mi Vida Loca,5.7,,False
True,60000000.0,43742,3.290192,1994,Released,Love Affair,4.3,,False
True,17000000.0,28313,7.698526,1995,Released,Losing Isaiah,6.4,,False
True,0.0,11318,4.81307,1994,Released,The Madness of King George,6.7,,False
True,45000000.0,3036,14.287753,1994,Released,Mary Shelley's Frankenstein,6.1,,False
True,0.0,40490,2.558118,1995,Released,Man of the House,5.1,,False
True,15000000.0,24070,2.899608,1994,Released,Mixed Nuts,5.2,,False
True,0.0,8986,3.770115,1994,Released,Milk Money,5.6,,False
True,0.0,10510,5.831622,1994,Released,Miracle on 34th Street,6.4,,False
True,6.0,17402,1.137266,1995,Released,Miami Rhapsody,5.6,,False
True,5500000.0,38722,3.121288,1995,Released,My Family,7.0,,False
True,0.0,8438,9.518564,1995,Released,Murder in the First,6.9,,False
True,0.0,11593,2.891269,1994,Released,Nobody's Fool,7.0,,False
True,31000000.0,1945,5.930957,1994,Released,Nell,6.1,,False
True,0.0,39310,0.629955,1995,Released,New Jersey Drive,6.9,,False
True,0.0,109560,0.004537,1993,Released,New York Cop,0.0,,False
True,4800000.0,56428,0.426952,1994,Released,Beyond Bedlam,4.0,,False
True,0.0,63105,1.466491,1995,Released,Nemesis 2 - Nebula,4.6,,False
True,0.0,131957,0.769522,1995,Released,Nina Takes a Lover,7.4,,False
True,34000000.0,241,11.226856,1994,Released,Natural Born Killers,6.9,,False
True,0.0,9058,4.936761,1994,Released,Only You,6.4,,False
True,0.0,527,4.025276,1994,Released,Once Were Warriors,7.6,,False
True,0.0,18220,6.448039,1996,Released,Poison Ivy II: Lily,4.6,,False
True,50000000.0,6950,13.676444,1995,Released,Outbreak,6.4,,False
True,16000000.0,101,20.477329,1994,Released,Leon: The Professional,8.2,,False
True,11000000.0,63020,1.433544,1995,Released,The Perez Family,6.6,,False
True,0.0,2307,0.463307,1995,Released,A Pyromaniac's Love Story,7.0,,False
True,8000000.0,680,140.950236,1994,Released,Pulp Fiction,8.3,s7803,True
True,0.0,41478,7.160149,1995,Released,Panther,6.4,,False
True,400000.0,25296,1.638622,1992,Released,Pushing Hands,6.1,,False
True,0.0,40156,1.881932,1994,Released,Priest,6.4,,False
True,0.0,11450,7.772505,1994,Released,Quiz Show,7.1,,False
True,0.0,30304,1.296912,1995,Released,Picture Bride,7.4,,False
True,0.0,10452,4.405405,1994,Released,Queen Margot,7.0,,False
True,32000000.0,12106,7.54701,1995,Released,The Quick and the Dead,6.2,,False
True,22000000.0,161495,3.395867,1995,Released,Roommates,6.4,,False
True,15000000.0,3586,6.259433,1994,Released,Prêt-à-Porter,5.3,,False
True,0.0,110,7.832755,1994,Released,Three Colors: Red,7.8,,False
True,0.0,108,8.843517,1993,Released,Three Colors: Blue,7.7,,False
True,0.0,109,6.5898,1994,Released,Three Colors: White,7.3,,False
True,0.0,159185,0.078257,1994,Released,"Red Firecracker, Green Firecracker",7.0,,False
True,0.0,36357,1.155255,1995,Released,Rent-a-Kid,5.1,,False
True,0.0,92769,0.499601,1995,Released,Relative Fear,4.7,,False
True,0.0,28033,1.390885,1995,Released,Stuart Saves His Family,5.0,,False
True,35000000.0,22586,8.910462,1994,Released,The Swan Princess,6.5,,False
True,0.0,14334,1.750481,1994,Released,The Secret of Roan Inish,6.1,,False
True,45000000.0,2636,10.388183,1994,Released,The Specialist,5.5,,False
True,55000000.0,2164,13.328924,1994,Released,Stargate,6.8,s947,True
True,22000000.0,11395,9.665424,1994,Released,The Santa Clause,6.3,,False
True,25000000.0,278,51.645403,1994,Released,The Shawshank Redemption,8.5,,False
True,0.0,9905,8.223026,1994,Released,Shallow Grave,7.0,,False
True,0.0,87078,1.298224,1993,Released,Suture,6.0,,False
True,0.0,12527,1.777197,1993,Released,Strawberry and Chocolate,7.1,,False
True,0.0,20306,5.869261,1994,Released,Swimming with Sharks,6.7,,False
True,32.0,36614,1.407427,1994,Released,The Sum of Us,6.0,,False
True,0.0,27993,5.05806,1995,Released,Senior Trip,5.7,,False
True,0.0,31439,5.260627,1994,Released,To Live,7.7,,False
True,25000000.0,9067,7.602087,1995,Released,Tank Girl,5.5,,False
True,0.0,9059,9.455342,1995,Released,Tales from the Crypt: Demon Knight,6.7,,False
True,38000000.0,193,8.105708,1994,Released,Star Trek: Generations,6.4,,False
True,6000000.0,25066,2.86007,1995,Released,Tales from the Hood,5.4,,False
True,0.0,46797,0.704204,1994,Released,Tom & Viv,5.8,,False
True,0.0,12122,6.529879,1995,Released,Village of the Damned,5.6,,False
True,0.0,11381,11.971318,1995,Released,Tommy Boy,6.8,,False
True,0.0,32636,7.039846,1994,Released,Vanya on 42nd Street,6.1,,False
True,6500000.0,36141,2.059771,1995,Released,The Underneath,5.6,,False
True,11000000.0,1587,10.3919,1993,Released,What's Eating Gilbert Grape,7.5,s1470,True
True,30000000.0,9271,5.188399,1995,Released,Virtuosity,5.4,,False
True,17000000.0,2064,15.783615,1995,Released,While You Were Sleeping,6.5,,False
True,0.0,19855,3.908596,1994,Released,The War,6.3,,False
True,0.0,60855,0.372239,1994,Released,Double Happiness,5.5,,False
True,3000000.0,236,5.254847,1994,Released,Muriel's Wedding,6.9,,False
True,15000000.0,3049,11.247957,1994,Released,Ace Ventura: Pet Detective,6.4,,False
True,0.0,2759,8.328596,1994,Released,"The Adventures of Priscilla, Queen of the Desert",7.2,,False
True,0.0,12635,2.487951,1994,Released,Backbeat,6.2,,False
True,5000000.0,10497,11.298195,1992,Released,Bitter Moon,7.0,,False
True,0.0,11382,5.72288,1994,Released,Bullets Over Broadway,7.0,,False
True,62000000.0,9331,7.513245,1994,Released,Clear and Present Danger,6.4,s135,True
True,45000000.0,10731,15.263829,1994,Released,The Client,6.4,,False
True,0.0,10464,6.924689,1994,Released,"Corrina, Corrina",6.4,,False
True,0.0,34152,2.533022,1994,Released,Crooklyn,6.7,,False
True,15000000.0,9495,15.799336,1994,Released,The Crow,7.3,s8260,True
True,0.0,29973,2.583363,1994,Released,Cobb,6.1,,False
True,46000000.0,888,15.019586,1994,Released,The Flintstones,5.0,s8305,True
True,55000000.0,13,48.307194,1994,Released,Forrest Gump,8.2,,False
True,6000000.0,712,8.990345,1994,Released,Four Weddings and a Funeral,6.6,s6793,True
True,0.0,16295,7.817811,1995,Released,Higher Learning,6.4,,False
